month/day	vader compound	vader sentiment
2007-11-02	0.6249	positive
2007-11-03	0.0	neutral
2007-11-04	0.0	neutral
2007-11-05	0.0	neutral
2007-11-06	0.0	neutral
2007-11-07	0.0	neutral
2007-11-08	0.8237	positive
2007-11-09	0.0	neutral
2007-11-10	0.0	neutral
2007-11-11	-0.5878000000000001	negative
2007-11-12	0.4588	positive
2007-11-13	0.0	neutral
2007-11-14	0.8422000000000001	positive
2007-11-15	-0.0772	negative
2007-11-16	0.08460000000000001	positive
2007-11-17	-0.3182	negative
2007-11-18	0.6808	positive
2007-11-19	-0.3818	negative
2007-11-20	0.8271	positive
2007-11-21	0.6808	positive
2007-11-22	0.0	neutral
2007-11-23	0.20350000000000001	positive
2007-11-24	0.8481	positive
2007-11-25	0.0	neutral
2007-11-26	-0.0258	negative
2007-11-27	-0.5859	negative
2007-11-28	-0.2732	negative
2007-11-29	0.0	neutral
2007-11-30	0.3832	positive
2007-12-01	-1.3816	negative
2007-12-02	0.0	neutral
2007-12-03	-0.3612	negative
2007-12-04	-0.7269	negative
2007-12-05	0.0	neutral
2007-12-06	-0.5859	negative
2007-12-07	0.0	neutral
2007-12-08	-0.4894	negative
2007-12-09	0.0	neutral
2007-12-10	-0.1027	negative
2007-12-11	0.3384000000000001	positive
2007-12-12	0.21300000000000013	positive
2007-12-13	0.0	neutral
2007-12-14	0.5719	positive
2007-12-15	-0.5423	negative
2007-12-16	0.0	neutral
2007-12-17	0.044800000000000006	positive
2007-12-18	0.0	neutral
2007-12-19	0.5852999999999999	positive
2007-12-20	-0.7529999999999999	negative
2007-12-21	0.0	neutral
2007-12-22	-0.13960000000000006	negative
2007-12-23	-0.2263	negative
2007-12-24	0.0	neutral
2007-12-25	0.0	neutral
2007-12-26	0.2227	positive
2007-12-27	-0.2732	negative
2007-12-28	-0.4488	negative
2007-12-29	0.0	neutral
2007-12-30	0.0	neutral
2007-12-31	-0.2744	negative
2008-01-01	-0.6284000000000001	negative
2008-01-02	0.2787	positive
2008-01-03	0.9259	positive
2008-01-04	0.0	neutral
2008-01-05	0.0	neutral
2008-01-06	-0.09519999999999995	negative
2008-01-07	-1.1473	negative
2008-01-08	-0.1578	negative
2008-01-09	-0.9101	negative
2008-01-10	-0.6124	negative
2008-01-11	0.0	neutral
2008-01-12	-0.4404	negative
2008-01-13	0.0516	positive
2008-01-14	-0.8316	negative
2008-01-15	-0.17859999999999998	negative
2008-01-16	-0.7506	negative
2008-01-17	0.7708	positive
2008-01-18	0.0	neutral
2008-01-19	0.35629999999999995	positive
2008-01-20	0.3612	positive
2008-01-21	0.0	neutral
2008-01-22	-0.6947	negative
2008-01-23	-0.0258	negative
2008-01-24	-0.7184	negative
2008-01-25	-0.6808	negative
2008-01-26	-1.8014999999999999	negative
2008-01-27	0.0	neutral
2008-01-28	-0.8763	negative
2008-01-29	0.07919999999999999	positive
2008-01-30	0.128	positive
2008-01-31	0.0	neutral
2008-02-01	1.5954	positive
2008-02-02	0.08039999999999992	positive
2008-02-03	0.473	positive
2008-02-04	-0.34	negative
2008-02-05	2.2527	positive
2008-02-06	0.9715000000000001	positive
2008-02-07	-0.0736	negative
2008-02-08	-0.9084999999999999	negative
2008-02-09	0.0	neutral
2008-02-10	-0.3182	negative
2008-02-11	0.0	neutral
2008-02-12	0.0	neutral
2008-02-13	0.3612	positive
2008-02-14	-0.6908	negative
2008-02-15	0.7917	positive
2008-02-16	1.4107	positive
2008-02-17	0.0	neutral
2008-02-18	-0.872	negative
2008-02-19	-0.11650000000000002	negative
2008-02-20	0.2827	positive
2008-02-21	-0.8818999999999999	negative
2008-02-22	-1.2732	negative
2008-02-23	0.0	neutral
2008-02-24	-0.1583000000000001	negative
2008-02-25	0.29919999999999997	positive
2008-02-26	0.3182	positive
2008-02-27	-0.43429999999999996	negative
2008-02-28	0.0	neutral
2008-02-29	0.25	positive
2008-03-01	0.0	neutral
2008-03-02	0.37359999999999993	positive
2008-03-03	0.2519	positive
2008-03-04	-0.11429999999999996	negative
2008-03-05	0.0	neutral
2008-03-06	-0.8555	negative
2008-03-07	-1.1918	negative
2008-03-08	-0.6395	negative
2008-03-09	0.0	neutral
2008-03-10	0.5868	positive
2008-03-11	-3.0639	negative
2008-03-12	0.9046	positive
2008-03-13	0.14939999999999987	positive
2008-03-14	-0.6597	negative
2008-03-15	0.0	neutral
2008-03-16	-0.5574	negative
2008-03-17	-0.0253	negative
2008-03-18	0.34	positive
2008-03-19	0.4588	positive
2008-03-20	1.3026	positive
2008-03-21	1.359	positive
2008-03-22	0.5342	positive
2008-03-23	-0.0606	negative
2008-03-24	0.011599999999999944	positive
2008-03-25	0.0	neutral
2008-03-26	0.7345999999999999	positive
2008-03-27	0.6296999999999999	positive
2008-03-28	-0.048699999999999966	negative
2008-03-29	0.0	neutral
2008-03-30	0.2732	positive
2008-03-31	0.33049999999999996	positive
2008-04-01	-0.6342	negative
2008-04-02	2.1965	positive
2008-04-03	-0.33899999999999986	negative
2008-04-04	-0.9909	negative
2008-04-05	-0.133	negative
2008-04-06	-0.7451000000000001	negative
2008-04-07	-0.3485	negative
2008-04-08	-1.1617	negative
2008-04-09	-2.3007	negative
2008-04-10	-0.16510000000000002	negative
2008-04-11	-0.08929999999999999	negative
2008-04-12	-0.06170000000000002	negative
2008-04-13	0.28930000000000006	positive
2008-04-14	0.2972	positive
2008-04-15	1.768	positive
2008-04-16	-0.769	negative
2008-04-17	1.6751	positive
2008-04-18	-0.26280000000000003	negative
2008-04-19	0.0	neutral
2008-04-20	0.8273	positive
2008-04-21	0.31689999999999996	positive
2008-04-22	-1.3497999999999999	negative
2008-04-23	-0.6249	negative
2008-04-24	-0.21619999999999995	negative
2008-04-25	-0.4253	negative
2008-04-26	-0.26399999999999996	negative
2008-04-27	1.7651000000000001	positive
2008-04-28	0.412	positive
2008-04-29	0.7673000000000001	positive
2008-04-30	1.4741	positive
2008-05-01	1.3142	positive
2008-05-02	1.8537000000000001	positive
2008-05-03	1.0891	positive
2008-05-04	0.7406	positive
2008-05-05	-0.9000999999999999	negative
2008-05-06	-1.491	negative
2008-05-07	1.0061	positive
2008-05-08	-0.07840000000000003	negative
2008-05-09	0.8200000000000001	positive
2008-05-10	-0.17049999999999998	negative
2008-05-11	1.1758	positive
2008-05-12	3.8625	positive
2008-05-13	2.4097	positive
2008-05-14	-1.3907	negative
2008-05-15	-0.6824999999999998	negative
2008-05-16	1.6534	positive
2008-05-17	0.8402	positive
2008-05-18	0.3818	positive
2008-05-19	-0.8042999999999999	negative
2008-05-20	1.2426	positive
2008-05-21	-1.2709000000000001	negative
2008-05-22	2.0825	positive
2008-05-23	0.10010000000000008	positive
2008-05-24	-0.009500000000000064	negative
2008-05-25	-0.22820000000000001	negative
2008-05-26	0.7764	positive
2008-05-27	0.5	positive
2008-05-28	1.6691	positive
2008-05-29	1.4857	positive
2008-05-30	0.22869999999999996	positive
2008-05-31	-0.6908	negative
2008-06-01	0.0258	positive
2008-06-02	-3.0921000000000003	negative
2008-06-03	0.24750000000000005	positive
2008-06-04	0.4404	positive
2008-06-05	-0.11030000000000006	negative
2008-06-06	-0.15940000000000004	negative
2008-06-07	-0.4974	negative
2008-06-08	-1.8448	negative
2008-06-09	0.9710000000000001	positive
2008-06-10	-0.4171000000000002	negative
2008-06-11	-0.5045999999999999	negative
2008-06-12	2.5372	positive
2008-06-13	0.5106	positive
2008-06-14	0.5419	positive
2008-06-15	-1.1825	negative
2008-06-16	-0.5457	negative
2008-06-17	-2.4233000000000002	negative
2008-06-18	-1.3246	negative
2008-06-19	-0.46570000000000006	negative
2008-06-20	-0.9702999999999999	negative
2008-06-21	0.3252	positive
2008-06-22	0.31899999999999995	positive
2008-06-23	2.4876	positive
2008-06-24	-0.0504	negative
2008-06-25	1.2267	positive
2008-06-26	-1.3898	negative
2008-06-27	1.685	positive
2008-06-28	1.739	positive
2008-06-29	-0.4248	negative
2008-06-30	-1.3331	negative
2008-07-01	0.7677999999999999	positive
2008-07-02	-0.12759999999999988	negative
2008-07-03	2.0823	positive
2008-07-04	0.8676999999999999	positive
2008-07-05	-1.5465	negative
2008-07-06	0.0	neutral
2008-07-07	0.5622	positive
2008-07-08	0.8328	positive
2008-07-09	2.074	positive
2008-07-10	0.07340000000000002	positive
2008-07-11	0.1577	positive
2008-07-12	-0.2732	negative
2008-07-13	0.31650000000000006	positive
2008-07-14	0.4277999999999999	positive
2008-07-15	-0.9345	negative
2008-07-16	1.1916	positive
2008-07-17	0.9608000000000001	positive
2008-07-18	1.5267	positive
2008-07-19	-0.7778	negative
2008-07-20	-1.0347	negative
2008-07-21	0.09280000000000005	positive
2008-07-22	-1.5903	negative
2008-07-23	-0.5776	negative
2008-07-24	2.2302	positive
2008-07-25	0.6213	positive
2008-07-26	0.5106	positive
2008-07-27	0.2985	positive
2008-07-28	0.028299999999999936	positive
2008-07-29	1.0313	positive
2008-07-30	-0.5084	negative
2008-07-31	-0.24599999999999994	negative
2008-08-01	-0.7946	negative
2008-08-02	0.8271	positive
2008-08-03	-0.2121999999999999	negative
2008-08-04	0.21210000000000007	positive
2008-08-05	1.2713	positive
2008-08-06	0.9070999999999999	positive
2008-08-07	-0.7305	negative
2008-08-08	-0.25309999999999994	negative
2008-08-09	-0.4445	negative
2008-08-10	-1.3519	negative
2008-08-11	-0.3122999999999999	negative
2008-08-12	-3.8461	negative
2008-08-13	0.42710000000000015	positive
2008-08-14	0.5384	positive
2008-08-15	-0.06840000000000002	negative
2008-08-16	-1.4247	negative
2008-08-17	-0.3916	negative
2008-08-18	0.5546	positive
2008-08-19	0.3818	positive
2008-08-20	2.7942	positive
2008-08-21	-0.5354	negative
2008-08-22	-0.5332	negative
2008-08-23	-0.25999999999999984	negative
2008-08-24	0.9434	positive
2008-08-25	1.3492	positive
2008-08-26	2.734	positive
2008-08-27	3.0709999999999997	positive
2008-08-28	-1.5270000000000001	negative
2008-08-29	-1.6263	negative
2008-08-30	2.532	positive
2008-08-31	1.3961999999999999	positive
2008-09-01	0.044300000000000006	positive
2008-09-02	-2.3625	negative
2008-09-03	1.9293	positive
2008-09-04	1.7097	positive
2008-09-05	-0.3139	negative
2008-09-06	2.6149	positive
2008-09-07	2.1282	positive
2008-09-08	-2.969	negative
2008-09-09	-0.19630000000000003	negative
2008-09-10	-0.4549	negative
2008-09-11	0.8051000000000001	positive
2008-09-12	1.0607000000000002	positive
2008-09-13	-0.30110000000000003	negative
2008-09-14	-0.2507	negative
2008-09-15	3.1761	positive
2008-09-16	-0.08639999999999981	negative
2008-09-17	0.058499999999999996	positive
2008-09-18	-0.4949999999999999	negative
2008-09-19	1.3813	positive
2008-09-20	1.0532	positive
2008-09-21	-1.9143999999999999	negative
2008-09-22	-0.21409999999999996	negative
2008-09-23	1.1341	positive
2008-09-24	1.7818999999999998	positive
2008-09-25	0.8768	positive
2008-09-26	-0.5418	negative
2008-09-27	0.02579999999999999	positive
2008-09-28	0.3637	positive
2008-09-29	0.12619999999999998	positive
2008-09-30	2.4611	positive
2008-10-01	2.9982	positive
2008-10-02	-0.7262000000000001	negative
2008-10-03	1.1085	positive
2008-10-04	-0.5239999999999999	negative
2008-10-05	0.2512000000000001	positive
2008-10-06	-1.2518	negative
2008-10-07	-0.35020000000000007	negative
2008-10-08	-0.6402999999999999	negative
2008-10-09	-0.011599999999999833	negative
2008-10-10	-0.9103000000000001	negative
2008-10-11	-0.1769000000000001	negative
2008-10-12	-0.2834999999999999	negative
2008-10-13	1.0156999999999998	positive
2008-10-14	-0.5719	negative
2008-10-15	-0.2628999999999999	negative
2008-10-16	0.8011999999999999	positive
2008-10-17	0.4588	positive
2008-10-18	-0.0258	negative
2008-10-19	0.8316	positive
2008-10-20	0.8777000000000001	positive
2008-10-21	-0.8180999999999999	negative
2008-10-22	-0.35470000000000007	negative
2008-10-23	1.4167999999999998	positive
2008-10-24	-1.9724	negative
2008-10-25	0.6402	positive
2008-10-26	-1.5195	negative
2008-10-27	-0.36530000000000024	negative
2008-10-28	3.6406	positive
2008-10-29	-1.5919	negative
2008-10-30	0.47380000000000005	positive
2008-10-31	1.8600999999999999	positive
2008-11-01	2.5629999999999997	positive
2008-11-02	0.4033999999999999	positive
2008-11-03	1.4546999999999999	positive
2008-11-04	-6.0707	negative
2008-11-05	2.5929	positive
2008-11-06	-0.8412999999999999	negative
2008-11-07	2.6927	positive
2008-11-08	-0.6183	negative
2008-11-09	0.7703	positive
2008-11-10	0.22880000000000006	positive
2008-11-11	-1.5580999999999998	negative
2008-11-12	-1.2658999999999998	negative
2008-11-13	-0.16459999999999986	negative
2008-11-14	-1.0673	negative
2008-11-15	0.6685	positive
2008-11-16	0.35069999999999996	positive
2008-11-17	3.5683	positive
2008-11-18	0.6891000000000003	positive
2008-11-19	-0.34379999999999994	negative
2008-11-20	-1.4603000000000002	negative
2008-11-21	1.0463	positive
2008-11-22	0.0007000000000000339	neutral
2008-11-23	-2.7019	negative
2008-11-24	0.8020999999999998	positive
2008-11-25	0.8159000000000001	positive
2008-11-26	0.6715	positive
2008-11-27	2.6481	positive
2008-11-28	0.45680000000000015	positive
2008-11-29	3.0548	positive
2008-11-30	1.7143000000000002	positive
